upper/lower canyon,environment,lat,long,type,direction,source,,,outliers (erronous points),,,,,
,axis,29.977617,-115.802628,imbrication,215,PB_A_Amphitheater long_east sidetrack,,,,,,,,
,axis,29.970556,-115.804722,imbrication,204,PB_M_XLong_01,,,,,,,,
,axis,29.970556,-115.804722,imbrication,196,PB_M_XLong_01,,,,,,,,
,axis,29.970556,-115.804722,imbrication,202,PB_M_XLong_01,,,,,,,,
,axis,29.970556,-115.804722,imbrication,254,PB_M_XLong_01,,,,,,,,
,axis,29.970556,-115.804722,imbrication,244,PB_M_XLong_01,,,,,,,,
,axis,29.970556,-115.804722,imbrication,258,PB_M_XLong_01,,,,,,,,
,axis,29.970556,-115.804722,imbrication,240,PB_M_XLong_01,,,,,,,,
,axis,29.978333,-115.8025,imbrication,215,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,160,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,191,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,186,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,212,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,205,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,242,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,240,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,280,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,197,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,167,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,199,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,183,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,218,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,182,PB_Long_North 2,,,,,,,,
,axis,29.978333,-115.8025,imbrication,242,PB_Long_North 2,,,,,,,,
,axis,29.980183,-115.802583,imbrication,294,PB_Long_North 1,,,,,,,,
,axis,29.980183,-115.802583,imbrication,231,PB_Long_North 1,,,,,,,,
,axis,29.980183,-115.802583,imbrication,260,PB_Long_North 1,,,,,,,,
,axis,29.980183,-115.802583,imbrication,274,PB_Long_North 1,,,,,,,,
,axis,29.980183,-115.802583,imbrication,238,PB_Long_North 1,,,,,,,,
,axis,29.980183,-115.802583,imbrication,239,PB_Long_North 1,,,axis,29.980183,-115.802583,imbrication,303,PB_Long_North 1
,axis,29.980183,-115.802583,imbrication,254,PB_Long_North 1,,,,,,,,
,axis,29.980183,-115.802583,imbrication,268,PB_Long_North 1,,,axis,29.980183,-115.802583,imbrication,270,PB_Long_North 1
,axis,29.980183,-115.802583,imbrication,266,PB_Long_North 1,,,axis,29.980183,-115.802583,imbrication,275,PB_Long_North 1
,axis,29.980183,-115.802583,imbrication,244,PB_Long_North 1,,,axis,29.980183,-115.802583,imbrication,276,PB_Long_North 1
,axis,29.980183,-115.802583,imbrication,275,PB_Long_North 1,,,axis,29.980183,-115.802583,imbrication,272,PB_Long_North 1
,axis,29.980183,-115.802583,imbrication,251,PB_Long_North 1,,,,,,,,
,axis,29.980183,-115.802583,imbrication,252,PB_Long_North 1,,,,,,,,
,axis,29.980183,-115.802583,imbrication,269,PB_Long_North 1,,,,,,,,
,axis,29.980183,-115.802583,imbrication,241,PB_Long_North 1,,,,,,,,
,axis,,,imbrication,169,1E,,,,,,,,
,axis,,,imbrication,210,1E,,,axis,29.980183,-115.802583,imbrication,309,PB_Long_North 1
,axis,,,imbrication,210,1E,,,,,,,,
,axis,,,imbrication,189,1E,,,axis,29.980183,-115.802583,imbrication,298,PB_Long_North 1
,axis,,,imbrication,156,1E,,,axis,29.980183,-115.802583,imbrication,280,PB_Long_North 1
,axis,,,imbrication,190,1E,,,,,,,,
,axis,,,imbrication,295,1E,,,,,,,,
,axis,,,imbrication,250,1E,,,,,,,,
,axis,,,imbrication,280,1E,,,,,,,,
,axis,,,imbrication,263,1E,,,,,,,,
,axis,,,imbrication,215,1E,,,,,,,,
,axis,,,imbrication,165,1E,,,,,,,,
,axis,,,imbrication,258,1E,,,,,,,,
,axis,,,imbrication,167,1F,,,axis,29.980183,-115.802583,imbrication,286,PB_Long_North 1
,axis,,,imbrication,287,1F,,,,,,,,
,axis,,,imbrication,153,1F,,,,,,,,
,axis,,,imbrication,182,1F,,,axis,29.980183,-115.802583,imbrication,307,PB_Long_North 1
,axis,,,imbrication,190,1F,,,,,,,,
,axis,,,imbrication,152,1F,,,,,,,,
,axis,,,imbrication,194,1F,,,axis,29.980183,-115.802583,imbrication,281,PB_Long_North 1
,axis,,,imbrication,210,1F,,,,,,,,
,axis,,,imbrication,297,1F,,,,,,,,
,axis,,,imbrication,186,1F,,,axis,,,imbrication,141,1E
,axis,,,imbrication,167,1F,,,axis,,,imbrication,148,1E
,axis,,,imbrication,184,1F,,,,,,,,
,axis,,,imbrication,260,1F,,,axis,29.980183,-115.802583,imbrication,293,PB_Long_North 1
,axis,,,imbrication,250,1F,,,axis,29.980183,-115.802583,imbrication,293,PB_Long_North 1
,axis,,,imbrication,180,1G,,,axis,,,imbrication,130,1F
,axis,,,imbrication,210,1G,,,axis,,,imbrication,133,1F
,axis,,,imbrication,187,1G,,,axis,,,imbrication,127,1F
,axis,,,imbrication,194,1G,,,axis,,,imbrication,126,1F
,axis,,,imbrication,154,1H,,,axis,,,imbrication,148,1F
,axis,,,imbrication,182,1H,,,,,,,,
,axis,,,imbrication,152,1i,,,,,,,,
,axis,,,imbrication,210,1i,,,axis,,,imbrication,148,1G
,axis,,,imbrication,187,1i,,,axis,,,imbrication,148,1i
,axis,,,imbrication,194,1i,,,,,,,,
,axis,,,imbrication,145,1i,,,,,,,,
,axis,,,imbrication,172,3b,,,,,,,,
,axis,,,imbrication,213,3c,,,,,,,,
,axis,,,imbrication,198,3c,,,,,,,,
,axis,,,imbrication,198,3c,,,,,,,,
,axis,,,imbrication,255,3c,,,,,,,,
,axis,,,imbrication,274,3e,,,,,,,,
,axis,,,imbrication,170,PB2-PB,,,,,,,,
,axis,,,imbrication,168,PB2-PB,,,,,,,,
,axis,,,imbrication,162,PB2-PB,,,,,,,,
,axis,,,imbrication,154,PB2-PB,,,,,,,,
,axis,,,imbrication,238,PB2-PB,,,,,,,,
,axis,,,imbrication,222,PB2-PB,,,,,,,,
,axis,,,imbrication,223,PB2-PB,,,,,,,,
,axis,,,imbrication,220,PB2-PB,,,,,,,,
,axis,,,imbrication,229,PB2-PB,,,,,,,,
,axis,,,imbrication,248,PB2-PB,,,,,,,,
,axis,,,imbrication,232,PB2-PB,,,,,,,,
,axis,,,imbrication,203,PB2-PB,,,,,,,,
,axis,,,imbrication,226,PB2-PB,,,,,,,,
,axis,,,imbrication,234,PB2-PB,,,,,,,,
,axis,,,imbrication,160,PB2-PB,,,,,,,,
,axis,,,imbrication,171,PB2-PB,,,,,,,,
,axis,,,imbrication,261,PB2-PB,,,axis,,,imbrication,158,PB2-PB
,axis,,,imbrication,221,PB2-PB,,,axis,,,imbrication,155,PB2-PB
,axis,,,imbrication,163,PB2-PB,,,,,,,,
,axis,,,imbrication,157,PB2-PB,,,,,,,,
,axis,,,imbrication,191,PB2-PB,,,,,,,,
,axis,,,imbrication,191,PB2-PB,,,,,,,,
,axis,,,imbrication,170,PB2-PB,,,,,,,,
,axis,,,imbrication,176,PB2-PB,,,,,,,,
,axis,,,imbrication,171,PB2-PB,,,,,,,,
,axis,,,imbrication,151,PB2-PB,,,,,,,,
,axis,,,imbrication,150,PB2-PB,,,,,,,,
,axis,,,imbrication,159,PB2-PB,,,,,,,,
,axis,,,imbrication,191,PB2-PB,,,,,,,,
,axis,,,imbrication,176,PB2-PB,,,,,,,,
,axis,,,imbrication,163,PB2-PB,,,,,,,,
,axis,,,imbrication,168,PB2-PB,,,,,,,,
,axis,,,imbrication,205,PB2-PB,,,,,,,,
,axis,,,imbrication,227,PB2-PB,,,axis,,,imbrication,123,PB2-PB
,axis,,,imbrication,204,PB2-PB,,,axis,,,imbrication,117,PB2-PB
,axis,,,imbrication,158,PB2-PB,,,,,,,,
,axis,,,imbrication,174,PB2-PB,,,axis,,,imbrication,119,PB2-PB
,axis,,,imbrication,243,PB2-PB,,,axis,,,imbrication,114,PB2-PB
,axis,,,imbrication,165,PB2-PB,,,,,,,,
,axis,,,imbrication,180,PB2-PB,,,,,,,,
,axis,,,imbrication,259,PB2-PB,,,,,,,,
,axis,,,imbrication,185,PB2-PB,,,,,,,,
,axis,29.9574,-115.809129,imbrication,179,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,171,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,226,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,179,Village-west,,,axis,,,imbrication,133,PB2-PB
,axis,29.9574,-115.809129,imbrication,157,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,159,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,145,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,149,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,165,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,163,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,195,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,182,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,231,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,209,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,172,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,151,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,156,Village-west,,,axis,,,imbrication,121,PB2-PB
,axis,29.9574,-115.809129,imbrication,142,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,158,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,172,Village-west,,,,,,,,
,axis,29.9574,-115.809129,imbrication,159,Village-west,,,,,,,,
,axis,29.9609,-115.8078,imbrication,269,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,209,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,250,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,240,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,237,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,200,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,185,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,191,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,211,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,228,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,221,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,220,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,249,west-upper-lower,,,axis,29.9574,-115.809129,imbrication,97,Village-west
,axis,29.9609,-115.8078,imbrication,197,west-upper-lower,,,axis,29.9574,-115.809129,imbrication,131,Village-west
,axis,29.9609,-115.8078,imbrication,213,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,180,west-upper-lower,,,axis,29.9574,-115.809129,imbrication,132,Village-west
,axis,29.9609,-115.8078,imbrication,220,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,188,west-upper-lower,,,axis,29.9574,-115.809129,imbrication,137,Village-west
,axis,29.9609,-115.8078,imbrication,205,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,189,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,247,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,214,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,225,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,247,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,192,west-upper-lower,,,axis,29.9574,-115.809129,imbrication,139,Village-west
,axis,29.9609,-115.8078,imbrication,229,west-upper-lower,,,axis,29.9574,-115.809129,imbrication,128,Village-west
,axis,29.9609,-115.8078,imbrication,240,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,216,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,222,west-upper-lower,,,,,,,,
,axis,29.9609,-115.8078,imbrication,227,west-upper-lower,,,axis,29.9574,-115.809129,imbrication,132,Village-west
,axis,29.9722376,-115.8043838,imbrication,219,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,232,PBIK2,,,axis,29.9574,-115.809129,imbrication,131,Village-west
,axis,29.9722376,-115.8043838,imbrication,228,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,242,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,201,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,195,PBIK2,,,axis,29.9574,-115.809129,imbrication,133,Village-west
,axis,29.9722376,-115.8043838,imbrication,214,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,222,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,202,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,189,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,198,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,252,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,171,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,292,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,205,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,236,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,246,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,293,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,230,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,217,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,265,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,258,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,231,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,262,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,236,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,257,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,219,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,252,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,238,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,245,PBIK2,,,axis,29.9722376,-115.8043838,imbrication,275,PBIK2
,axis,29.9722376,-115.8043838,imbrication,248,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,263,PBIK2,,,,,,,,
,axis,29.9722376,-115.8043838,imbrication,251,PBIK2,,,,,,,,
,axis,29.9619,-115.8087,imbrication,212,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,259,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,251,PB8IK,,,axis,29.9722376,-115.8043838,imbrication,297,PBIK2
,axis,29.9619,-115.8087,imbrication,232,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,225,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,217,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,225,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,206,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,221,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,259,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,201,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,254,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,182,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,263,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,248,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,233,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,267,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,240,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,218,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,232,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,256,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,239,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,233,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,188,PB8IK,,,axis,29.9619,-115.8087,imbrication,271,PB8IK
,axis,29.9619,-115.8087,imbrication,172,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,245,PB8IK,,,axis,29.9619,-115.8087,imbrication,299,PB8IK
,axis,29.9619,-115.8087,imbrication,250,PB8IK,,,axis,29.9619,-115.8087,imbrication,270,PB8IK
,axis,29.9619,-115.8087,imbrication,200,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,223,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,208,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,188,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,254,PB8IK,,,,,,,,
,axis,29.9619,-115.8087,imbrication,243,PB8IK,,,,,,,,
,axis,29.9782,-115.801,imbrication,247,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,219,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,211,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,195,PB-upper,,,axis,29.9619,-115.8087,imbrication,298,PB8IK
,axis,29.9782,-115.801,imbrication,189,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,259,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,207,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,201,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,190,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,218,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,243,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,242,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,236,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,202,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,207,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,212,PB-upper,,,axis,29.9782,-115.801,imbrication,271,PB-upper
,axis,29.9782,-115.801,imbrication,235,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,265,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,263,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,235,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,258,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,257,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,246,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,227,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,264,PB-upper,,,,,,,,
,axis,29.9782,-115.801,imbrication,253,PB-upper,,,,,,,,
,axis,29.973666,-115.80433,imbrication,187,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,162,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,207,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,219,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,188,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,161,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,242,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,209,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,225,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,197,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,175,PB-EMO_sectionBase,,,axis,29.9782,-115.801,imbrication,280,PB-upper
,axis,29.973666,-115.80433,imbrication,239,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,221,PB-EMO_sectionBase,,,axis,29.9782,-115.801,imbrication,274,PB-upper
,axis,29.973666,-115.80433,imbrication,190,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,198,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,159,PB-EMO_sectionBase,,,axis,29.9782,-115.801,imbrication,270,PB-upper
,axis,29.973666,-115.80433,imbrication,197,PB-EMO_sectionBase,,,axis,29.9782,-115.801,imbrication,276,PB-upper
,axis,29.973666,-115.80433,imbrication,183,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,233,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,182,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,226,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,223,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,163,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,233,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,225,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,205,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,236,PB-EMO_sectionBase,,,,,,,,
,axis,29.973666,-115.80433,imbrication,232,PB-EMO_sectionBase,,,axis,29.973666,-115.80433,imbrication,102,PB-EMO_sectionBase
,axis,,,imbrication,258,Clino,,,axis,29.973666,-115.80433,imbrication,133,PB-EMO_sectionBase
,axis,,,imbrication,206,Clino,,,,,,,,
,axis,,,imbrication,240,Clino,,,,,,,,
,axis,,,imbrication,245,Clino,,,,,,,,
,axis,,,imbrication,228,Clino,,,,,,,,
,axis,,,imbrication,264,Clino,,,,,,,,
,axis,,,imbrication,241,Clino,,,,,,,,
,axis,,,imbrication,182,Clino,,,,,,,,
,axis,,,imbrication,256,Clino,,,,,,,,
,axis,,,imbrication,219,Clino,,,,,,,,
,axis,,,imbrication,202,Clino,,,,,,,,
,axis,,,imbrication,254,Clino,,,,,,,,
,axis,,,imbrication,210,Clino,,,,,,,,
,axis,,,imbrication,231,Clino,,,,,,,,
